,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
1152,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"18,994 km",1st Owner,Petrol,Mumbai,"₹6,18,099"
1153,2017 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"23,940 km",1st Owner,Petrol,Mumbai,"₹6,85,899"
1154,2016 Hyundai Grand i10,Manual,SPORTS 1.2 VTVT Manual,"42,095 km",1st Owner,Petrol,Mumbai,"₹4,47,599"
1155,2017 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"10,720 km",1st Owner,Petrol,Mumbai,"₹6,90,599"
1156,2017 Maruti Swift,Manual,ZDI Manual,"1,42,467 km",1st Owner,Diesel,Mumbai,"₹5,33,199"
1157,2017 Maruti S Cross,Manual,ZETA SHVS Manual,"80,900 km",1st Owner,Diesel,Mumbai,"₹8,67,399"
1158,2016 Maruti Celerio,Manual,ZXI Manual,"85,812 km",1st Owner,Petrol,Mumbai,"₹4,12,899"
1159,2016 Maruti Wagon R 1.0,Manual,VXI Manual,"60,108 km",1st Owner,Petrol,Mumbai,"₹3,92,799"
1160,2014 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"1,18,657 km",1st Owner,Diesel,Mumbai,"₹6,12,699"
1161,2020 KIA SELTOS,,GTX + AT PETROL,"2,787 km",1st Owner,Petrol,Mumbai,"₹20,08,199"
1162,2018 Volkswagen Polo,Automatic,GT TSI 1.2 PETROL AT Automatic,"20,448 km",1st Owner,Petrol,Mumbai,"₹7,72,699"
1163,2016 Hyundai Grand i10,Manual,ASTA 1.2 (O) VTVT Manual,"86,068 km",1st Owner,Petrol,Mumbai,"₹4,64,699"
1164,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"74,296 km",1st Owner,Diesel,Mumbai,"₹5,43,199"
1165,2018 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"17,149 km",1st Owner,Petrol,Mumbai,"₹8,55,199"
1166,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"45,012 km",1st Owner,Petrol,Mumbai,"₹4,72,599"
1167,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"33,826 km",1st Owner,Petrol,Mumbai,"₹4,13,999"
1168,2016 Maruti Alto 800,Manual,LXI Manual,"44,351 km",1st Owner,Petrol,Mumbai,"₹2,54,599"
1169,2019 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"7,469 km",1st Owner,Petrol,Mumbai,"₹5,52,999"
1170,2018 Maruti IGNIS,Automatic,ZETA 1.2 K12 AMT Automatic,"11,321 km",1st Owner,Petrol,Mumbai,"₹5,78,499"
1171,2019 Maruti Vitara Brezza,Manual,VDI AMT Manual,"67,109 km",1st Owner,Diesel,Mumbai,"₹7,91,699"
1172,2019 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"11,217 km",1st Owner,Petrol,Mumbai,"₹9,70,599"
1173,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"66,764 km",1st Owner,Diesel,Mumbai,"₹11,27,599"
1174,2016 Honda Brio,Manual,1.2 S MT I VTEC Manual,"15,805 km",1st Owner,Petrol,Mumbai,"₹4,08,799"
1175,2017 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"20,910 km",1st Owner,Petrol,Mumbai,"₹5,04,899"
1176,2018 Ford Ecosport,Manual,1.5 TDCI TITANIUM PLUS Manual,"38,402 km",1st Owner,Diesel,Mumbai,"₹9,01,099"
1177,2017 Maruti Swift,Manual,ZXI Manual,"14,505 km",1st Owner,Petrol,Mumbai,"₹5,65,299"
1178,2014 Maruti Alto 800,Manual,LXI Manual,"40,278 km",1st Owner,Petrol,Mumbai,"₹2,57,499"
1179,2018 Maruti Vitara Brezza,Automatic,ZDI + AMT Automatic,"25,675 km",2nd Owner,Diesel,Mumbai,"₹8,46,399"
1180,2018 Maruti Vitara Brezza,Automatic,VDI AMT Automatic,"34,666 km",1st Owner,Diesel,Mumbai,"₹8,91,699"
1181,2017 Maruti Vitara Brezza,Manual,VDI OPT Manual,"98,197 km",1st Owner,Diesel,Mumbai,"₹7,54,699"
1182,2018 Maruti Celerio,Manual,VXI Manual,"15,478 km",1st Owner,Petrol,Mumbai,"₹4,89,199"
1183,2019 Maruti Vitara Brezza,Manual,ZDI PLUS Manual,"20,552 km",1st Owner,Diesel,Mumbai,"₹9,26,699"
1184,2019 Maruti Vitara Brezza,Manual,VDI Manual,"42,680 km",1st Owner,Diesel,Mumbai,"₹8,09,199"
1185,2018 Maruti Vitara Brezza,Automatic,ZDI AMT Automatic,"35,579 km",1st Owner,Diesel,Mumbai,"₹9,46,399"
1186,2015 Hyundai Grand i10,Manual,ASTA 1.2 KAPPA VTVT Manual,"63,175 km",3rd Owner,Petrol,Mumbai,"₹4,43,799"
1187,2019 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"22,773 km",1st Owner,Petrol,Mumbai,"₹9,87,199"
1188,2018 Maruti Dzire,Manual,VDI Manual,"64,285 km",1st Owner,Diesel,Mumbai,"₹7,38,199"
1189,2015 Maruti Alto 800,Manual,LXI Manual,"36,683 km",1st Owner,Petrol,Mumbai,"₹2,67,599"
1190,2018 Maruti Celerio,Automatic,VXI AMT Automatic,"20,753 km",2nd Owner,Petrol,Mumbai,"₹4,79,599"
1191,2016 Maruti Alto K10,Manual,VXI AMT Manual,"30,536 km",1st Owner,Petrol,Mumbai,"₹3,06,399"
1192,2019 Maruti Vitara Brezza,Manual,ZDI Manual,"48,152 km",1st Owner,Diesel,Mumbai,"₹9,08,899"
1193,2019 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"8,635 km",1st Owner,Petrol,Mumbai,"₹10,16,499"
1194,2018 Maruti Celerio,Automatic,ZXI OPT AMT Automatic,"29,961 km",1st Owner,Petrol,Mumbai,"₹5,24,399"
1195,2020 MG HECTOR,,SHARP DCT PETROL,"8,149 km",1st Owner,Petrol,Mumbai,"₹18,37,899"
1196,2017 Maruti Celerio,Automatic,VXI AMT Automatic,"6,747 km",1st Owner,Petrol,Mumbai,"₹4,43,699"
1197,2017 Hyundai Grand i10,,SPORTZ (O) 1.2 AT VTVT,"27,268 km",1st Owner,Petrol,Mumbai,"₹5,65,699"
1198,2017 Maruti Alto K10,Manual,VXI (O) AMT Manual,"30,820 km",1st Owner,Petrol,Mumbai,"₹3,33,099"
1199,2015 Tata Nano,Automatic,TWIST XTA Automatic,"27,225 km",1st Owner,Petrol,Mumbai,"₹2,11,099"
1200,2016 Maruti Alto 800,Manual,LXI Manual,"18,419 km",1st Owner,Petrol,Mumbai,"₹2,93,799"
1201,2015 Maruti Alto K10,Manual,VXI Manual,"25,490 km",1st Owner,Petrol,Mumbai,"₹3,37,699"
1202,2017 Maruti Alto 800,Manual,VXI Manual,"16,069 km",1st Owner,Petrol,Mumbai,"₹3,16,099"
1203,2015 Maruti Alto K10,Manual,VXI Manual,"12,341 km",2nd Owner,Petrol,Mumbai,"₹3,19,699"
1204,2015 Maruti Alto 800,Manual,LXI Manual,"4,562 km",1st Owner,Petrol,Mumbai,"₹2,99,499"
1205,2018 Maruti Alto 800,Manual,VXI Manual,"20,369 km",1st Owner,Petrol,Mumbai,"₹3,25,899"
1206,2018 Maruti Alto 800,Manual,LXI Manual,"17,517 km",1st Owner,Petrol,Mumbai,"₹3,28,899"
1207,2017 Maruti Alto 800,Manual,LXI Manual,"12,393 km",1st Owner,Petrol,Mumbai,"₹3,32,799"
1208,2015 Ford Figo Aspire,Manual,1.5 TITANIUM DIESEL Manual,"46,759 km",1st Owner,Diesel,Mumbai,"₹4,66,199"
1209,2014 Honda City,Manual,SV MT DIESEL Manual,"37,909 km",2nd Owner,Diesel,Mumbai,"₹5,10,599"
1210,2019 Hyundai VENUE,Manual,1.0L Turbo GDI SX(O) MT Manual,"8,924 km",1st Owner,Petrol,Mumbai,"₹10,33,999"
1211,2014 Maruti Ritz,Manual,VDI Manual,"1,21,608 km",1st Owner,Diesel,Mumbai,"₹3,53,099"
1212,2014 Maruti Wagon R 1.0,Manual,VXI Manual,"73,032 km",1st Owner,Petrol,Mumbai,"₹3,40,499"
1213,2019 Maruti Dzire,Manual,VXI Manual,"19,015 km",1st Owner,Petrol,Mumbai,"₹6,53,799"
1214,2016 Maruti Baleno,Automatic,DELTA 1.2 K12 AT Automatic,"26,581 km",1st Owner,Petrol,Mumbai,"₹6,17,999"
1215,2016 Hyundai Grand i10,Manual,SPORTS 1.2 VTVT Manual,"31,884 km",1st Owner,Petrol,Mumbai,"₹4,67,699"
1216,2017 Honda Jazz,Automatic,1.2 V AT Automatic,"48,106 km",2nd Owner,Petrol,Mumbai,"₹6,27,399"
1217,2012 Volkswagen Polo,Manual,HIGHLINE1.2L DIESEL Manual,"67,595 km",2nd Owner,Diesel,Mumbai,"₹2,58,399"
1218,2011 Honda City,Manual,S MT PETROL Manual,"1,01,973 km",2nd Owner,Petrol,Mumbai,"₹3,06,899"
1219,2015 Skoda Octavia,Automatic,ELEGANCE 1.8 TSI AT Automatic,"93,768 km",1st Owner,Petrol,Mumbai,"₹8,03,499"
1220,2015 Maruti Ciaz,Manual,ZDI+ SHVS Manual,"1,25,499 km",1st Owner,Diesel,Mumbai,"₹5,89,299"
1221,2008 Honda Civic,Automatic,1.8V AT Automatic,"85,145 km",5th Owner,Petrol,Mumbai,"₹1,40,599"
1222,2018 Datsun Go Plus,Manual,T Manual,"24,307 km",1st Owner,Petrol,Mumbai,"₹3,04,899"
1223,2015 Maruti Swift,Manual,VXI Manual,"22,813 km",1st Owner,Petrol,Mumbai,"₹4,68,599"
1224,2011 Hyundai i20,Manual,MAGNA O 1.2 Manual,"61,036 km",1st Owner,Petrol,Mumbai,"₹2,83,699"
1225,2010 Ford Figo,Manual,1.2 TITANIUM DURATEC Manual,"46,290 km",1st Owner,Petrol,Mumbai,"₹2,06,299"
1226,2017 Tata TIGOR,Manual,XZ 1.2 REVOTRON OPT Manual,"46,971 km",1st Owner,Petrol,Mumbai,"₹5,01,399"
1227,2016 Maruti Wagon R 1.0,Automatic,VXI AMT Automatic,"59,288 km",2nd Owner,Petrol,Mumbai,"₹3,93,299"
1228,2018 Tata Tiago,Manual,XZ 1.2 REVOTRON Manual,"43,135 km",1st Owner,Petrol,Mumbai,"₹4,31,499"
1229,2016 Volkswagen Ameo,Manual,HIGHLINE 1.2 Manual,"52,783 km",1st Owner,Petrol,Mumbai,"₹4,64,499"
1230,2016 Mahindra Kuv100,Manual,K2 6 STR Manual,"43,012 km",1st Owner,Petrol,Mumbai,"₹3,30,199"
1231,2016 Volkswagen Ameo,Manual,COMFORTLINE 1.2 Manual,"11,926 km",1st Owner,Petrol,Mumbai,"₹4,79,299"
1232,2015 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"37,644 km",1st Owner,Petrol,Mumbai,"₹5,00,699"
1233,2016 Hyundai Grand i10,Manual,MAGNA 1.2 VTVT Manual,"61,016 km",1st Owner,Petrol,Mumbai,"₹3,64,599"
1234,2015 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"64,342 km",1st Owner,Petrol,Mumbai,"₹5,28,599"
1235,2015 Hyundai Creta,Manual,1.6 SX CRDI Manual,"72,365 km",1st Owner,Diesel,Mumbai,"₹8,58,299"
1236,2015 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"34,859 km",1st Owner,Petrol,Mumbai,"₹5,30,099"
1237,2012 Ford Figo,Manual,1.4 TITANIUM DURATORQ Manual,"74,710 km",1st Owner,Diesel,Mumbai,"₹2,83,799"
1238,2010 Maruti Swift,Manual,VDI Manual,"1,47,679 km",3rd Owner,Diesel,Mumbai,"₹2,53,399"
1239,2018 Tata Tiago,Manual,XE 1.2 REVOTRON Manual,"12,651 km",1st Owner,Petrol,Mumbai,"₹3,94,399"
1240,2015 Ford Figo Aspire,Manual,1.5 TREND DIESEL Manual,"59,038 km",1st Owner,Diesel,Mumbai,"₹4,27,299"
1241,2011 BMW 5 Series,Automatic,525D 3.0 Automatic,"77,266 km",1st Owner,Diesel,Mumbai,"₹15,54,799"
1242,2014 Hyundai Verna,Manual,FLUIDIC 1.6 SX VTVT Manual,"43,443 km",1st Owner,Petrol,Mumbai,"₹5,40,299"
1243,2013 Hyundai Eon,Manual,D LITE PLUS Manual,"6,766 km",1st Owner,Petrol,Mumbai,"₹2,33,399"
1244,2020 KIA SELTOS,Manual,HTK 1.5 PETROL Manual,"22,656 km",1st Owner,Petrol,Mumbai,"₹12,18,899"
1245,2019 Hyundai GRAND I10 NIOS,Automatic,SPORTZ 1.2 AT Automatic,"5,353 km",1st Owner,Petrol,Mumbai,"₹6,84,399"
1246,2016 Mahindra TUV300,Manual,T8 Manual,"36,918 km",1st Owner,Diesel,Mumbai,"₹6,42,299"
1247,2014 Hyundai Elite i20,Manual,ASTA 1.4 CRDI Manual,"71,543 km",2nd Owner,Diesel,Mumbai,"₹4,90,099"
1248,2012 Honda City,Manual,1.5 E MT PETROL Manual,"79,836 km",2nd Owner,Petrol,Mumbai,"₹3,76,899"
1249,2012 Maruti SX4,Manual,ZDI Manual,"1,32,910 km",1st Owner,Diesel,Mumbai,"₹2,73,699"
1250,2017 Maruti Ertiga,Manual,VDI SHVS Manual,"54,343 km",1st Owner,Diesel,Mumbai,"₹7,76,299"
1251,2017 Hyundai Elite i20,Manual,Magna Executive 1.2 Manual,"14,199 km",1st Owner,Petrol,Mumbai,"₹5,71,399"
1252,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"24,234 km",1st Owner,Petrol,Mumbai,"₹4,80,299"
1253,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"8,281 km",1st Owner,Petrol,Mumbai,"₹5,25,399"
1254,2014 Hyundai Eon,Manual,D LITE PLUS Manual,"48,235 km",1st Owner,Petrol,Mumbai,"₹2,34,899"
1255,2017 Maruti Dzire,Manual,VDI Manual,"49,328 km",1st Owner,Diesel,Mumbai,"₹6,75,899"
1256,2017 Maruti Dzire,Manual,VDI Manual,"60,286 km",1st Owner,Diesel,Mumbai,"₹6,67,999"
1257,2019 Hyundai VENUE,Manual,SX(O) CRDi Manual,"16,545 km",1st Owner,Diesel,Mumbai,"₹10,98,099"
1258,2017 Maruti Vitara Brezza,Manual,LDI OPT Manual,"70,598 km",1st Owner,Diesel,Mumbai,"₹6,39,599"
1259,2019 Maruti Ertiga,Manual,VXI SMART HYBRID Manual,"4,068 km",1st Owner,Petrol,Mumbai,"₹9,30,099"
1260,2019 KIA SELTOS,Manual,HTK 1.5 PETROL Manual,"12,872 km",1st Owner,Petrol,Mumbai,"₹12,26,799"
1261,2016 Renault Kwid,Manual,RXT Manual,"16,681 km",1st Owner,Petrol,Mumbai,"₹3,22,499"
1262,2019 Maruti Swift,Manual,ZXI Manual,"11,270 km",1st Owner,Petrol,Mumbai,"₹6,37,499"
1263,2016 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"44,216 km",1st Owner,Diesel,Mumbai,"₹6,65,799"
1264,2017 Volkswagen Vento,Automatic,HIGHLINE TDI AT Automatic,"95,513 km",1st Owner,Diesel,Mumbai,"₹6,98,599"
1265,2018 Volkswagen Polo,Manual,HIGH LINE PLUS 1.0 Manual,"9,207 km",1st Owner,Petrol,Mumbai,"₹6,67,299"
1266,2017 Maruti Ciaz,Manual,ZETA 1.3 DDIS SHVS Manual,"53,425 km",1st Owner,Diesel,Mumbai,"₹7,25,999"
1267,2016 Ford Ecosport,Automatic,1.5 TITANIUM TI VCT AT Automatic,"51,670 km",1st Owner,Petrol,Mumbai,"₹6,68,399"
1268,2011 Hyundai i10,Manual,MAGNA 1.2 KAPPA2 Manual,"33,286 km",1st Owner,Petrol,Mumbai,"₹3,01,899"
1269,2016 Maruti Ciaz,Manual,ZDI SHVS HYBIRD Manual,"1,43,429 km",2nd Owner,Diesel,Mumbai,"₹5,95,899"
1270,2018 Maruti Swift,Manual,VXI Manual,"14,836 km",1st Owner,Petrol,Mumbai,"₹5,84,299"
1271,2014 Volkswagen Polo,Manual,HIGHLINE1.2L PETROL Manual,"47,941 km",1st Owner,Petrol,Mumbai,"₹4,81,599"
1272,2018 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"27,334 km",1st Owner,Petrol,Mumbai,"₹6,48,799"
1273,2018 Maruti Wagon R 1.0,Automatic,VXI AMT Automatic,"67,022 km",1st Owner,Petrol,Mumbai,"₹3,91,599"
1274,2017 Honda City,Automatic,ZX CVT Automatic,"12,369 km",1st Owner,Petrol,Mumbai,"₹10,01,499"
1275,2012 Hyundai i20,Manual,MAGNA O 1.2 Manual,"84,887 km",1st Owner,Petrol,Mumbai,"₹3,36,199"
1276,2011 Maruti Wagon R 1.0,Manual,VXI Manual,"69,729 km",1st Owner,Petrol,Mumbai,"₹2,43,599"
1277,2018 Maruti S Cross,Manual,ALPHA SHVS Manual,"28,912 km",1st Owner,Diesel,Mumbai,"₹9,48,299"
1278,2019 Toyota Innova Crysta,Automatic,2.8 GX AT 8 STR Automatic,"22,764 km",1st Owner,Diesel,Mumbai,"₹18,62,699"
1279,2018 Ford Ecosport,Manual,1.5 TITANIUM TI VCT Manual,"14,838 km",1st Owner,Petrol,Mumbai,"₹7,21,599"
1280,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"1,17,299 km",2nd Owner,Petrol,Mumbai,"₹4,89,399"
1281,2019 Hyundai Elite i20,Automatic,1.2 ASTA (O) CVT Automatic,"35,040 km",1st Owner,Petrol,Mumbai,"₹8,25,499"
1282,2016 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"47,324 km",1st Owner,Petrol,Mumbai,"₹4,22,599"
1283,2015 Maruti Wagon R 1.0,Manual,LXI Manual,"25,054 km",1st Owner,Petrol,Mumbai,"₹3,30,999"
1284,2020 MG HECTOR,Automatic,SHARP DCT PETROL Automatic,"11,480 km",1st Owner,Petrol,Mumbai,"₹16,08,299"
1285,2015 Maruti Swift,Manual,VXI Manual,"40,555 km",1st Owner,Petrol,Mumbai,"₹4,80,299"
1286,2012 Volkswagen Polo,Manual,TRENDLINE 1.2L PETROL Manual,"46,917 km",2nd Owner,Petrol,Mumbai,"₹3,44,399"
1287,2013 Honda Brio,Manual,1.2 S MT I VTEC Manual,"54,432 km",1st Owner,Petrol,Mumbai,"₹3,29,799"
1288,2018 Honda Amaze,Manual,1.2 VXMT I VTEC Manual,"23,942 km",1st Owner,Petrol,Mumbai,"₹6,06,799"
1289,2018 Hyundai Creta,Manual,1.6 SX (O) VTVT Manual,"27,891 km",1st Owner,Petrol,Mumbai,"₹11,57,199"
1290,2019 Maruti Vitara Brezza,Manual,VDI AMT Manual,"10,813 km",1st Owner,Diesel,Mumbai,"₹8,25,399"
1291,2010 Hyundai i10,Manual,MAGNA 1.2 Manual,"35,915 km",1st Owner,Petrol,Mumbai,"₹2,53,799"
1292,2016 Hyundai i10,Manual,MAGNA 1.1 IRDE2 Manual,"12,479 km",1st Owner,Petrol,Mumbai,"₹3,62,099"
1293,2017 Hyundai Creta,Automatic,1.6 CRDI SX PLUS AUTO Automatic,"52,753 km",1st Owner,Diesel,Mumbai,"₹11,77,199"
1294,2014 Maruti Swift,Manual,VDI Manual,"64,412 km",1st Owner,Diesel,Mumbai,"₹4,88,399"
1295,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"23,449 km",1st Owner,Petrol,Mumbai,"₹6,07,099"
1296,2017 Maruti Baleno,Manual,ZETA DDIS 190 Manual,"1,00,623 km",1st Owner,Diesel,Mumbai,"₹5,47,299"
1297,2018 Ford Ecosport,Manual,1.5 TITANIUM PLUS TI VCT AT Manual,"11,860 km",1st Owner,Petrol,Mumbai,"₹9,07,999"
1298,2017 Maruti Swift,Manual,VDI Manual,"23,423 km",1st Owner,Diesel,Mumbai,"₹5,56,099"
1299,2018 Hyundai Grand i10,Manual,SPORTS 1.2 VTVT Manual,"10,896 km",1st Owner,Petrol,Mumbai,"₹4,94,599"
1300,2014 Maruti Alto 800,Manual,LXI Manual,"51,085 km",2nd Owner,Petrol,Mumbai,"₹2,41,899"
1301,2018 Honda WR-V,Manual,1.5 i-DTEC VX MT Manual,"37,639 km",1st Owner,Diesel,Mumbai,"₹8,02,799"
1302,2020 Renault Kwid,Automatic,1.0 RXT Opt AT Automatic,"17,728 km",1st Owner,Petrol,Mumbai,"₹4,96,999"
1303,2018 Maruti Vitara Brezza,Manual,ZDI PLUS Manual,"31,518 km",1st Owner,Diesel,Mumbai,"₹8,75,399"
1304,2016 Honda Jazz,Automatic,1.2 V AT Automatic,"60,158 km",1st Owner,Petrol,Mumbai,"₹5,84,699"
1305,2014 Maruti Alto 800,Manual,LXI Manual,"9,653 km",1st Owner,Petrol,Mumbai,"₹2,66,299"
1306,2018 Maruti IGNIS,Automatic,ZETA 1.2 K12 AMT Automatic,"4,593 km",1st Owner,Petrol,Mumbai,"₹6,05,299"
1307,2018 Maruti Vitara Brezza,Manual,VDI OPT Manual,"57,487 km",1st Owner,Diesel,Mumbai,"₹8,01,599"
1308,2015 Maruti Celerio,Automatic,VXI AMT Automatic,"4,216 km",1st Owner,Petrol,Mumbai,"₹3,91,799"
1309,2018 Jeep Compass,Manual,2.0 SPORT Manual,"14,466 km",1st Owner,Diesel,Mumbai,"₹16,09,399"
1310,2020 Maruti Eeco,Manual,5 STR CNG WITH AC PLUSHTR Manual,"10,856 km",1st Owner,Petrol + CNG,Mumbai,"₹4,91,500"
1311,2014 Maruti Wagon R 1.0,Manual,LXI CNG Manual,"40,857 km",1st Owner,Petrol + CNG,Mumbai,"₹3,54,099"
1312,2018 Renault Kwid,Automatic,RXT 1.0 EASY-R AT OPTION Automatic,"13,181 km",1st Owner,Petrol,Mumbai,"₹3,82,799"
1313,2020 Maruti S PRESSO,Manual,VXI Manual,"8,651 km",1st Owner,Petrol,Mumbai,"₹4,40,599"
1314,2015 Maruti Celerio,Automatic,ZXI AMT Automatic,"14,477 km",1st Owner,Petrol,Mumbai,"₹4,37,799"
1315,2016 Maruti Alto 800,Manual,VXI Manual,"16,709 km",2nd Owner,Petrol,Mumbai,"₹2,75,999"
1316,2010 Hyundai i20,Manual,MAGNA O 1.2 Manual,"87,846 km",2nd Owner,Petrol + CNG,Mumbai,"₹1,63,299"
1317,2011 Maruti Swift,Manual,VXI Manual,"60,546 km",1st Owner,Petrol,Mumbai,"₹2,78,499"
1318,2011 Hyundai Verna,Manual,FLUIDIC 1.6 SX VTVT OPT Manual,"60,559 km",1st Owner,Petrol,Mumbai,"₹3,27,199"
1319,2017 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"17,944 km",1st Owner,Petrol,Mumbai,"₹7,10,299"
1320,2016 Honda City,Automatic,VX CVT PETROL Automatic,"51,270 km",1st Owner,Petrol,Mumbai,"₹7,64,199"
1321,2019 Honda WR-V,Manual,1.2 i-VTEC VX MT Manual,"8,616 km",1st Owner,Petrol,Mumbai,"₹8,50,799"
1322,2018 Mahindra TUV300,Manual,T 10 MT Dual Tone Manual,"29,735 km",2nd Owner,Diesel,Mumbai,"₹8,05,199"
1323,2017 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"15,229 km",1st Owner,Petrol,Mumbai,"₹6,36,799"
1324,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"60,665 km",2nd Owner,Petrol + CNG,Mumbai,"₹5,44,699"
1325,2010 Maruti Swift Dzire,Manual,VDI BS IV Manual,"1,97,455 km",1st Owner,Diesel,Mumbai,"₹2,68,599"
1326,2017 Hyundai Verna,Manual,1.6 SX VTVT Manual,"27,357 km",2nd Owner,Petrol,Mumbai,"₹6,48,299"
1327,2016 Hyundai Creta,Manual,1.6 SX PLUS PETROL Manual,"1,16,746 km",1st Owner,Petrol,Mumbai,"₹8,22,399"
1328,2016 Maruti Vitara Brezza,Manual,ZDI Manual,"97,256 km",1st Owner,Diesel,Mumbai,"₹7,22,799"
1329,2016 Hyundai Grand i10,Manual,SPORTZ 1.1 CRDI Manual,"1,18,349 km",1st Owner,Diesel,Mumbai,"₹3,84,799"
1330,2017 Jeep Compass,Manual,2.0 LONGITUDE Manual,"39,917 km",1st Owner,Diesel,Mumbai,"₹13,50,499"
1331,2016 Maruti Vitara Brezza,Manual,VDI Manual,"44,496 km",2nd Owner,Diesel,Mumbai,"₹6,77,899"
1332,2015 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"41,700 km",1st Owner,Petrol,Mumbai,"₹4,80,099"
1333,2016 Ford Figo Aspire,Manual,1.5 TITANIUM DIESEL Manual,"48,129 km",1st Owner,Diesel,Mumbai,"₹4,58,999"
1334,2020 Maruti New Wagon-R,Manual,ZXI 1.2 Manual,"17,310 km",1st Owner,Petrol,Mumbai,"₹5,58,199"
1335,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"56,095 km",1st Owner,Petrol,Mumbai,"₹5,16,899"
1336,2011 Maruti Swift,Manual,VDI Manual,"68,471 km",1st Owner,Diesel,Mumbai,"₹3,77,499"
1337,2013 Maruti Ritz,Manual,VXI BS IV Manual,"50,379 km",2nd Owner,Petrol,Mumbai,"₹3,06,399"
1338,2020 Hyundai VENUE,Automatic,1.0 TURBO GDI SX+ AT Automatic,"4,856 km",1st Owner,Petrol,Mumbai,"₹11,57,499"
1339,2015 Maruti Swift Dzire,Manual,VXI 1.2 BS IV Manual,"57,742 km",2nd Owner,Petrol,Mumbai,"₹4,27,299"
1340,2016 Hyundai Elite i20,Manual,1.4 CRDI ASTA (O) Manual,"61,932 km",1st Owner,Diesel,Mumbai,"₹6,65,199"
1341,2019 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"19,543 km",1st Owner,Petrol,Mumbai,"₹6,57,399"
1342,2014 Ford Ecosport,Manual,1.5 TITANIUMTDCI OPT Manual,"64,463 km",1st Owner,Diesel,Mumbai,"₹5,71,499"
1343,2013 Hyundai i20,Manual,SPORTZ 1.2 VTVT Manual,"8,953 km",2nd Owner,Petrol,Mumbai,"₹4,01,499"
1344,2016 Maruti Swift,Manual,VDI ABS Manual,"79,244 km",1st Owner,Diesel,Mumbai,"₹4,87,699"
1345,2016 Maruti Baleno,Manual,ZETA 1.2 K12 Manual,"21,200 km",2nd Owner,Petrol,Mumbai,"₹5,56,599"
1346,2018 Ford Ecosport,Manual,1.5 TITANIUM SIGNATURE (SUNROOF) TDCI Manual,"8,934 km",1st Owner,Diesel,Mumbai,"₹9,08,799"
1347,2019 Maruti Ertiga,Manual,ZDI PLUS SHVS Manual,"20,385 km",1st Owner,Diesel,Mumbai,"₹11,35,399"
1348,2018 Maruti Ertiga,Manual,VDI SHVS Manual,"82,809 km",1st Owner,Diesel,Mumbai,"₹8,37,099"
1349,2015 Maruti Swift,Manual,VXI Manual,"80,352 km",2nd Owner,Petrol,Mumbai,"₹4,41,499"
1350,2015 Maruti Alto K10,Manual,VXI Manual,"27,653 km",1st Owner,Petrol,Mumbai,"₹2,71,499"
1351,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"1,09,740 km",1st Owner,Diesel,Mumbai,"₹4,30,999"
1352,2015 Maruti Swift Dzire,Manual,ZDI Manual,"88,531 km",1st Owner,Diesel,Mumbai,"₹5,20,499"
1353,2015 Maruti Alto 800,Manual,LXI Manual,"54,832 km",2nd Owner,Petrol,Mumbai,"₹2,43,499"
1354,2012 Honda Brio,Manual,1.2 S MT I VTEC Manual,"42,049 km",1st Owner,Petrol,Mumbai,"₹3,13,399"
1355,2020 Maruti Eeco,Manual,5 STR WITH AC PLUSHTR Manual,"5,250 km",1st Owner,Petrol,Mumbai,"₹4,73,199"
